Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-06-30 14:06:44.716395,4227.33333291,0,4232.48484806,0,4228.36363594,0,4225.27272685,0,4225.78787837,0,4222.69696927,0,4225.27272685,0,4228.87878746,0,4238.15151473,0,4299.45454502,0,4232.48484806,0,4177.36363595,0,3484.48484814,0,4227.84848443,0,42.0,42.0,?
2017-06-30 14:06:44.717419,4231.96969655,0,4220.63636321,0,4192.8181814,0,4226.8181814,0,4223.21212079,0,4224.24242382,0,4229.39393897,0,4231.96969655,0,4238.66666624,0,4283.99999957,0,4211.36363594,0,4176.33333292,0,3481.90909056,0,4221.66666624,0,42.0,42.0,?
2017-06-30 14:06:44.717797,4231.96969655,0,4220.63636321,0,4192.8181814,0,4226.8181814,0,4223.21212079,0,4224.24242382,0,4229.39393897,0,4231.96969655,0,4238.66666624,0,4283.99999957,0,4211.36363594,0,4176.33333292,0,3481.90909056,0,4221.66666624,0,42.0,42.0,?
2017-06-30 14:06:44.722028,4231.96969655,0,4220.63636321,0,4192.8181814,0,4226.8181814,0,4223.21212079,0,4224.24242382,0,4229.39393897,0,4231.96969655,0,4238.66666624,0,4283.99999957,0,4211.36363594,0,4176.33333292,0,3481.90909056,0,4221.66666624,0,42.0,42.0,?
2017-06-30 14:06:44.722105,4229.39393897,0,4224.75757534,0,4207.75757534,0,4228.87878746,0,4226.30302988,0,4219.60606018,0,4226.8181814,0,4234.03030261,0,4236.60606018,0,4296.36363593,0,4214.96969655,0,4179.93939352,0,3484.99999965,0,4230.93939352,0,42.0,42.0,?
2017-06-30 14:06:44.722615,4228.87878746,0,4226.30302988,0,4194.36363594,0,4230.424242,0,4225.78787837,0,4225.27272685,0,4232.48484806,0,4235.57575715,0,4236.60606018,0,4291.7272723,0,4211.36363594,0,4176.84848443,0,3484.99999965,0,4227.33333291,0,42.0,42.0,?
2017-06-30 14:06:44.723074,4231.45454503,0,4228.87878746,0,4199.5151511,0,4228.36363594,0,4227.33333291,0,4223.21212079,0,4228.87878746,0,4233.51515109,0,4234.54545412,0,4291.7272723,0,4217.54545412,0,4174.27272686,0,3479.33333299,0,4237.1212117,0,42.0,42.0,?
2017-06-30 14:06:44.724426,4231.45454503,0,4228.87878746,0,4199.5151511,0,4228.36363594,0,4227.33333291,0,4223.21212079,0,4228.87878746,0,4233.51515109,0,4234.54545412,0,4291.7272723,0,4217.54545412,0,4174.27272686,0,3479.33333299,0,4237.1212117,0,42.0,42.0,?
2017-06-30 14:06:44.726223,4227.33333291,0,4233.51515109,0,4209.30302988,0,4228.87878746,0,4227.33333291,0,4228.87878746,0,4226.8181814,0,4237.1212117,0,4237.63636321,0,4298.93939351,0,4228.87878746,0,4172.72727231,0,3482.42424208,0,4235.57575715,0,42.0,42.0,?
2017-06-30 14:06:44.726598,4227.33333291,0,4233.51515109,0,4209.30302988,0,4228.87878746,0,4227.33333291,0,4228.87878746,0,4226.8181814,0,4237.1212117,0,4237.63636321,0,4298.93939351,0,4228.87878746,0,4172.72727231,0,3482.42424208,0,4235.57575715,0,42.0,42.0,?
2017-06-30 14:06:44.731506,4229.90909049,0,4232.48484806,0,4208.78787837,0,4228.87878746,0,4226.30302988,0,4227.33333291,0,4230.424242,0,4235.57575715,0,4234.03030261,0,4296.36363593,0,4228.36363594,0,4174.78787837,0,3481.39393905,0,4238.66666624,0,42.0,42.0,?
2017-06-30 14:06:44.739944,4231.45454503,0,4230.424242,0,4213.93939352,0,4228.87878746,0,4229.39393897,0,4229.39393897,0,4222.69696927,0,4229.90909049,0,4234.54545412,0,4300.48484805,0,4231.45454503,0,4178.39393898,0,3481.39393905,0,4229.39393897,0,42.0,42.0,?
2017-06-30 14:06:44.747511,4228.87878746,0,4224.24242382,0,4211.36363594,0,4228.87878746,0,4223.7272723,0,4226.8181814,0,4227.33333291,0,4227.33333291,0,4236.60606018,0,4301.51515109,0,4232.99999958,0,4176.84848443,0,3483.45454511,0,4226.30302988,0,42.0,42.0,?
2017-06-30 14:06:44.755924,4225.27272685,0,4227.84848443,0,4219.60606018,0,4229.39393897,0,4228.36363594,0,4227.84848443,0,4218.57575715,0,4228.87878746,0,4234.54545412,0,4298.93939351,0,4226.30302988,0,4172.72727231,0,3481.39393905,0,4224.24242382,0,42.0,42.0,?
2017-06-30 14:06:44.764849,4229.90909049,0,4220.63636321,0,4202.60606019,0,4229.39393897,0,4224.24242382,0,4230.424242,0,4223.7272723,0,4230.424242,0,4238.66666624,0,4285.0303026,0,4212.39393897,0,4176.84848443,0,3483.96969662,0,4218.06060564,0,42.0,42.0,?
2017-06-30 14:06:44.775772,4229.90909049,0,4224.24242382,0,4206.72727231,0,4229.90909049,0,4230.424242,0,4227.84848443,0,4211.36363594,0,4227.33333291,0,4236.09090867,0,4295.3333329,0,4220.63636321,0,4176.33333292,0,3483.96969662,0,4216.51515109,0,42.0,42.0,?
